Date,Small Size  & Low Ret212,Small Size  & 2 Ret212,Small Size  & 3 Ret212,Small Size  & 4 Ret212,Small Size  & High Ret212,2 Size  & Low Ret212,2 Size  & 2 Ret212,2 Size  & 3 Ret212,2 Size  & 4 Ret212,2 Size  & High Ret212,3 Size  & Low Ret212,3 Size  & 2 Ret212,3 Size  & 3 Ret212,3 Size  & 4 Ret212,3 Size  & High Ret212,4 Size  & Low Ret212,4 Size  & 2 Ret212,4 Size  & 3 Ret212,4 Size  & 4 Ret212,4 Size  & High Ret212,Big Size  & Low Ret212,Big Size  & 2 Ret212,Big Size  & 3 Ret212,Big Size  & 4 Ret212,Big Size  & High Ret212
195203,4.5,5.16,5.48,5.4,5.63,12.14,12.11,13.2,13.19,12.57,24.49,25.56,25.99,25.17,27.2,58.9,58.7,55.69,57.64,64.15,197.22,389.46,502.89,263.93,376.43
195204,4.54,5.21,5.79,5.8,5.33,12.43,13.31,13.26,13.3,12.92,24.58,26.29,27.69,25.32,28.43,57.8,64.13,60.34,57.47,65.47,223.42,426.56,590.57,288.12,401.75
195205,4.16,5.19,5.86,5.7,4.97,12,12.12,12.92,12.7,11.82,23.79,23.67,27.26,26.03,25.97,56.93,55.13,55.33,58.94,61.03,584.99,283.69,391.64,403.4,367.62
195206,4.33,4.86,5.49,5.83,5.28,12.14,12.12,12.87,12.77,12.8,24.34,26.49,25.08,26.37,26.82,59.58,57.68,61.04,57.43,61.34,547.46,255.26,475.01,359.32,408.83
195207,4.2,5.29,5.81,5.67,5.63,12.49,13.01,13.05,12.75,12.98,25.43,27.06,26.23,27.92,26.23,59.77,64.69,58.91,59.61,63.69,483.44,403.83,334.97,389.86,436.83
195208,4.2,5.28,5.49,5.64,5.93,13.29,12.84,12.39,13.08,13.2,24.44,27.09,28.71,27.94,26.55,62.64,61.46,62.54,59.17,63.08,212.56,341.03,481.96,270.77,542.77
195209,4.14,5.28,5.76,5.78,5.68,13.1,12.89,12.91,12.85,12.67,24.43,27.18,27.01,27.75,26.52,56.86,61.67,62.74,59.43,63.26,222.2,355.82,419.83,357.78,495.96
195210,4.28,5.09,5.32,5.64,5.86,12.74,12.39,12.75,12.38,12.53,23.88,26.02,26.39,25.66,26.14,54.15,62.98,62.19,54.99,61.68,152.64,343.45,433.54,377.1,452.21
195211,4.08,5.4,5.06,5.29,5.89,12.27,11.97,12.5,12.51,12.11,23.72,26.55,25.44,25.6,25.52,53.2,60.07,58.04,57.89,59.91,155.08,351.92,437.24,454.01,358.27
195212,4.3,5,5.94,5.29,5.8,13.05,12.53,12.6,13.5,12.25,25.48,27.31,26.79,27.93,25.99,59.14,60.62,59.89,61.68,64.47,198.53,246.5,541.99,469.91,366.09
195301,4.08,5.42,5.77,5.48,5.46,13.42,13.28,13.16,13.67,12.16,27.71,27.3,28.76,27.2,26.86,60.56,63.34,62.24,64.52,64.93,179.37,315.47,706.15,423.99,364.55
195302,4.45,5.46,5.94,5.96,5.87,13.45,14.47,13.24,12.91,13.32,27.15,28.25,29.71,27.37,28.35,63.47,64.73,62.29,63.67,66.46,176.84,449.8,485.32,428.53,433
195303,4.6,4.93,6.26,5.92,6.18,14.1,14,14.08,13.3,12.96,29.5,28.32,28.45,29.12,27.24,64.5,65.47,63.55,61.47,67.66,190.69,523.58,419.47,367.95,505.12
195304,3.91,5.46,5.64,5.95,6.14,13.25,13.8,13.93,13.11,13.19,28.86,27.75,28.74,28.67,26.6,63.61,63.9,63.91,59.65,65.46,285.06,410.01,506.07,393.67,454.32
195305,4.12,5.21,5.29,5.94,5.83,12.9,13.39,13.57,12.77,13.17,28.39,27.59,28.18,27.81,25.18,66.18,59.61,63.12,60.05,61.4,272.62,565.36,305.1,510.45,264.8
195306,3.93,5.22,5.95,5.32,5.78,12.91,13.32,13.57,12.92,13.61,28.97,28.02,28.38,26.21,26.58,65.71,64.75,61.65,62.51,59.79,367.25,353.17,419.15,499.31,324.06
195307,3.91,4.81,5.37,5.49,5.47,12.12,12.37,13.66,12.57,13.08,26.8,26.35,28.44,24.84,25.9,58.38,60.87,60.28,62.36,58.65,373.63,398.52,353.23,545.51,229.58
195308,4.08,5.24,5.48,5.45,5.29,11.81,13.06,12.86,12.77,13.61,26.48,27.39,28.21,27.23,25.35,64.18,60.08,61.8,64.72,56,302.72,449,274.18,649.89,294.74
195309,3.88,4.63,5.51,4.36,5.25,11.48,11.6,12.49,12.11,12.59,25.48,25.54,25.32,24.77,24.94,55.46,59.09,61.37,57.07,56.62,232.9,375.21,620.99,271.83,388.77
195310,3.88,4.66,4.73,5.04,5.05,11.56,11.43,11.87,12.12,12.39,25.66,24.35,25.27,24.4,24.34,57.97,57.07,60.23,60.9,53.96,249.41,310.77,429.55,455.89,376.46
195311,3.99,5.06,4.81,4.89,5.14,11.65,11.69,12.33,12.2,12.99,26.08,26.12,26.38,25.15,24.69,58.74,59.15,60.21,63.45,58.37,237.85,459.9,430.83,426.17,389.37
